UDP:[::]:51592->[::]:0 		 Code.exe
TCP:192.168.43.35:55272->61.128.151.86:80 		 System
TCP:[::]:55278->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:57144->192.168.43.1:53 		 System
TCP:192.168.43.35:55259->59.36.124.102:80 		 System
TCP:[::]:55266->[::]:0 		 QQMusic.exe
TCP:[::]:55271->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:1863->106.85.218.254:19986 		 QQMusic.exe
UDP:192.168.43.35:1863->115.209.229.2:33217 		 QQMusic.exe
TCP:127.0.0.1:55295->127.0.0.1:521 		 OneDrive.exe
UDP:[::]:64324->[::]:0 		 chrome.exe
TCP:127.0.0.1:521->127.0.0.1:55300 		 xray.exe
TCP:[::]:55265->[::]:0 		 qmbrowser.exe
UDP:172.25.127.255:138->172.25.112.1:138 		 System
UDP:192.168.43.35:1863->183.60.15.98:18888 		 QQMusic.exe
TCP:[::]:55280->[::]:0 		 QQMusic.exe
TCP:[::]:55285->[::]:0 		 QQMusic.exe
UDP:[::]:58477->[::]:0 		 Code.exe
TCP:[::]:55298->[::]:0 		 chrome.exe
TCP:[::]:55306->[::]:0 		 chrome.exe
UDP:[::]:53098->[::]:0 		 Code.exe
TCP:127.0.0.1:55256->127.0.0.1:521 		 TIM.exe
UDP:192.168.43.35:65069->192.168.43.1:53 		 System
UDP:172.24.128.1:138->172.24.143.255:138 		 System
UDP:172.22.63.255:138->172.22.48.1:138 		 System
UDP:192.168.43.35:1863->122.230.63.48:1863 		 QQMusic.exe
UDP:[::]:57144->[::]:0 		 svchost.exe
TCP:127.0.0.1:12683->127.0.0.1:55267 		 QQMusic.exe
UDP:172.25.112.1:138->172.25.127.255:138 		 System
TCP:127.0.0.1:12683->127.0.0.1:55279 		 QQMusic.exe
UDP:[::]:63158->[::]:0 		 Code.exe
UDP:192.168.43.35:1863->183.60.15.98:30011 		 QQMusic.exe
TCP:[::]:55292->[::]:0 		 QQMusic.exe
TCP:192.168.43.35:55299->220.181.174.161:443 		 System
UDP:192.168.43.35:64731->192.168.43.1:53 		 System
TCP:[::]:55276->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:1863->119.98.169.253:1990 		 QQMusic.exe
UDP:192.168.43.35:62789->192.168.43.1:53 		 System
UDP:[::]:56751->[::]:0 		 svchost.exe
TCP:[::]:55299->[::]:0 		 xray.exe
TCP:192.168.43.35:55303->110.40.30.30:443 		 System
TCP:[::]:55273->[::]:0 		 QQMusic.exe
TCP:[::]:55274->[::]:0 		 QQMusic.exe
TCP:192.168.43.35:55274->183.61.32.88:443 		 System
TCP:192.168.43.35:55284->59.36.124.30:443 		 System
UDP:192.168.43.35:1863->101.94.252.73:1863 		 QQMusic.exe
TCP:[::]:55290->[::]:0 		 QQMusic.exe
UDP:192.168.43.35:1863->183.2.143.242:8020 		 System
TCP:127.0.0.1:521->127.0.0.1:55306 		 xray.exe
UDP:192.168.43.35:63131->192.168.43.1:53 		 System
UDP:192.168.43.35:58903->192.168.43.1:53 		 System
TCP:192.168.43.35:55282->59.36.124.30:443 		 System
TCP:[::]:55284->[::]:0 		 QQMusic.exe
